x	f(x)	df(x)
1,500000e+00	2,225712e-01	-2,067876e-01
1,550000e+00	2,122021e-01	-2,077884e-01
1,600000e+00	2,018104e-01	-2,077057e-01
1,650000e+00	1,914478e-01	-2,066430e-01
1,700000e+00	1,811608e-01	-2,046986e-01
1,750000e+00	1,709911e-01	-2,019656e-01
1,800000e+00	1,609759e-01	-1,985322e-01
1,850000e+00	1,511482e-01	-1,944812e-01
1,900000e+00	1,415368e-01	-1,898908e-01
1,950000e+00	1,321669e-01	-1,848340e-01
2,000000e+00	1,230600e-01	-1,793794e-01
2,050000e+00	1,142345e-01	-1,735907e-01
2,100000e+00	1,057055e-01	-1,675272e-01
2,150000e+00	9,748545e-02	-1,612439e-01
2,200000e+00	8,958396e-02	-1,547917e-01
2,250000e+00	8,200831e-02	-1,482173e-01
2,300000e+00	7,476354e-02	-1,415636e-01
2,350000e+00	6,785262e-02	-1,348698e-01
2,400000e+00	6,127664e-02	-1,281715e-01
2,450000e+00	5,503500e-02	-1,215010e-01
2,500000e+00	4,912559e-02	-1,148875e-01
2,550000e+00	4,354487e-02	-1,083568e-01
2,600000e+00	3,828813e-02	-1,019323e-01
2,650000e+00	3,334953e-02	-9,563439e-02
2,700000e+00	2,872228e-02	-8,948092e-02
2,750000e+00	2,439877e-02	-8,348745e-02
2,800000e+00	2,037065e-02	-7,766725e-02
2,850000e+00	1,662897e-02	-7,203152e-02
2,900000e+00	1,316427e-02	-6,658951e-02
2,950000e+00	9,966665e-03	-6,134867e-02
3,000000e+00	7,025951e-03	-5,631478e-02
3,050000e+00	4,331667e-03	-5,149208e-02
3,100000e+00	1,873176e-03	-4,688342e-02
3,150000e+00	-3,602684e-04	-4,249034e-02
3,200000e+00	-2,379459e-03	-3,831324e-02
3,250000e+00	-4,195181e-03	-3,435141e-02
3,300000e+00	-5,818161e-03	-3,060322e-02
3,350000e+00	-7,259022e-03	-2,706617e-02
3,400000e+00	-8,528242e-03	-2,373698e-02
3,450000e+00	-9,636118e-03	-2,061170e-02
3,500000e+00	-1,059274e-02	-1,768581e-02
3,550000e+00	-1,140794e-02	-1,495423e-02
3,600000e+00	-1,209131e-02	-1,241147e-02
3,650000e+00	-1,265213e-02	-1,005166e-02
3,700000e+00	-1,309942e-02	-7,868606e-03
3,750000e+00	-1,344183e-02	-5,855873e-03
3,800000e+00	-1,368773e-02	-4,006825e-03
3,850000e+00	-1,384513e-02	-2,314690e-03
3,900000e+00	-1,392170e-02	-7,725653e-04
3,950000e+00	-1,392477e-02	6,264817e-04
4,000000e+00	-1,386132e-02	1,889412e-03
4,050000e+00	-1,373798e-02	3,023172e-03
4,100000e+00	-1,356104e-02	4,034663e-03
4,150000e+00	-1,333644e-02	4,930707e-03
4,200000e+00	-1,306978e-02	5,718031e-03
4,250000e+00	-1,276634e-02	6,403235e-03
4,300000e+00	-1,243105e-02	6,992778e-03
4,350000e+00	-1,206855e-02	7,492961e-03
4,400000e+00	-1,168314e-02	7,909907e-03
4,450000e+00	-1,127885e-02	8,249555e-03
4,500000e+00	-1,085938e-02	8,517644e-03
4,550000e+00	-1,042818e-02	8,719711e-03
4,600000e+00	-9,988419e-03	8,861076e-03
4,650000e+00	-9,542999e-03	8,946844e-03
4,700000e+00	-9,094579e-03	8,981898e-03
4,750000e+00	-8,645577e-03	8,970896e-03
4,800000e+00	-8,198183e-03	8,918275e-03
4,850000e+00	-7,754372e-03	8,828244e-03
4,900000e+00	-7,315915e-03	8,704793e-03
4,950000e+00	-6,884387e-03	8,551688e-03
5,000000e+00	-6,461181e-03	8,372480e-03
5,050000e+00	-6,047518e-03	8,170505e-03
5,100000e+00	-5,644457e-03	7,948891e-03
5,150000e+00	-5,252907e-03	7,710560e-03
5,200000e+00	-4,873635e-03	7,458236e-03
5,250000e+00	-4,507275e-03	7,194452e-03
5,300000e+00	-4,154341e-03	6,921552e-03
5,350000e+00	-3,815235e-03	6,641702e-03
5,400000e+00	-3,490253e-03	6,356895e-03
5,450000e+00	-3,179598e-03	6,068956e-03
5,500000e+00	-2,883382e-03	5,779553e-03
5,550000e+00	-2,601641e-03	5,490203e-03
5,600000e+00	-2,334338e-03	5,202275e-03
5,650000e+00	-2,081369e-03	4,917005e-03
5,700000e+00	-1,842575e-03	4,635495e-03
5,750000e+00	-1,617741e-03	4,358728e-03
5,800000e+00	-1,406609e-03	4,087568e-03
5,850000e+00	-1,208878e-03	3,822771e-03
5,900000e+00	-1,024214e-03	3,564991e-03
5,950000e+00	-8,522527e-04	3,314787e-03
6,000000e+00	-6,926018e-04	3,072627e-03
6,050000e+00	-5,448495e-04	2,838897e-03
6,100000e+00	-4,085664e-04	2,613908e-03
6,150000e+00	-2,833091e-04	2,397897e-03
6,200000e+00	-1,686242e-04	2,191038e-03
6,250000e+00	-6,405096e-05	1,993443e-03
6,300000e+00	3,087545e-05	1,805170e-03
6,350000e+00	1,166216e-04	1,626229e-03
6,400000e+00	1,936532e-04	1,456581e-03
6,450000e+00	2,624332e-04	1,296150e-03
6,500000e+00	3,234198e-04	1,144821e-03
